capacity_percent,contacts,responders_captured,coverage_percent,coverage_ci_low,coverage_ci_high,precision_at_k,precision_ci_low,precision_ci_high,lift,lift_ci_low,lift_ci_high,precision_p_value_vs_base_rate,base_rate,expected_responders
5,412,244,9.610082709728239,8.878756852013714,10.334123738252696,0.5922330097087378,0.5485436893203883,0.6383495145631068,1.9210835242068391,1.774889355174392,2.065821434666243,1.358339625523705e-32,0.3082807187955318,97.20873997688871
10,824,521,20.519889720362347,19.53209884686586,21.53233968307692,0.6322815533980582,0.6007281553398058,0.6638349514563107,2.0509928608847607,1.9522617245483889,2.1521887090997756,1.5980102526685984e-81,0.3082807187955318,180.9150508319151
20,1648,960,37.81016148089799,36.40013545244126,39.14595391173777,0.5825242718446602,0.5573270631067961,0.6074029126213593,1.8895903516788581,1.8191232741887515,1.9563475510744677,1.0729138921476311e-116,0.3082807187955318,305.7399497824869
30,2471,1304,51.358802678219774,49.74254603299735,52.954705179562865,0.5277215702144881,0.507274382840955,0.547764063132335,1.7118215251226954,1.65795066421597,1.7650139694815044,2.545256220022163e-113,0.3082807187955318,383.1419576753623
50,4118,1828,71.99684915320992,70.46544821082553,73.53552085697311,0.4439048081593006,0.4276347741622147,0.46138902379796015,1.4399369830641984,1.4093089642165106,1.470710417139462,1.1148937565077715e-74,0.3082807187955318,515.7162862522262
