contact_percent,contacts,subscriber_capture_percent,lift
1,83,2.126821583300512,2.126821583300512
2,165,3.977944072469476,1.988972036234738
3,248,5.947223316266246,1.9824077720887487
4,330,7.995273729814888,1.998818432453722
5,412,9.610082709728239,1.9220165419456479
6,495,11.815675462780622,1.9692792437967703
7,577,14.257581725088617,2.036797389298374
8,659,16.345017723513195,2.0431272154391493
9,742,18.432453721937772,2.0480504135486415
10,824,20.519889720362347,2.0519889720362348
11,906,22.410397794407245,2.037308890400659
12,989,24.497833792831823,2.041486149402652
13,1071,26.545884206380464,2.041991092798497
14,1154,28.357621110673495,2.025544365048107
15,1236,30.326900354470265,2.021793356964684
16,1318,31.862938164631746,1.9914336352894841
17,1401,33.51713272942103,1.9715960429071193
18,1483,34.97439936983064,1.9430221872128135
19,1565,36.35289484048838,1.9133102547625465
20,1648,37.81016148089799,1.8905080740448994
21,1730,39.03111461205199,1.8586245053358088
22,1812,40.56715242221347,1.8439614737369758
23,1895,41.94564789287121,1.8237238214291829
24,1977,43.127215439149275,1.7969673099645531
25,2059,44.66325324931075,1.7865301299724299
26,2142,45.687278456085075,1.7572030175417337
27,2224,47.02638834186688,1.7417180867358102
28,2307,48.483654982276484,1.7315591065098743
29,2389,49.90153603781016,1.7207426219934538
30,2471,51.358802678219774,1.7119600892739926
31,2554,52.65852697912564,1.698662160616956
32,2636,53.525009846396216,1.6726565576998818
33,2718,54.745962977550214,1.6589685750772791
34,2801,55.888144938952344,1.643768968792716
35,2883,56.75462780622292,1.621560794463512
36,2965,57.97558093737692,1.6104328038160256
37,3048,59.07837731390311,1.5967129003757599
38,3130,60.0630169358015,1.5806057088368817
39,3213,61.008270972823944,1.564314640328819
40,3295,62.307995273729816,1.5576998818432455
41,3377,63.21386372587633,1.5418015542896666
42,3460,64.11973217802284,1.526660289952925
43,3542,65.1831429696731,1.5158870458063511
44,3624,66.32532493107523,1.507393748433528
45,3707,67.073651043718,1.4905255787492888
46,3789,68.09767625049231,1.4803842663150504
47,3871,69.23985821189444,1.4731884725934987
48,3954,70.26388341866877,1.4638309045555993
49,4036,71.16975187081528,1.452443915730924
50,4118,71.99684915320992,1.4399369830641984
51,4201,72.9814887751083,1.431009583825653
52,4283,73.88735722725482,1.4209107159087466
53,4366,74.55691217014572,1.406734191889542
54,4448,75.4233950374163,1.3967295377299314
55,4530,76.01417881055534,1.3820759783737333
56,4613,76.72311933832218,1.3700557024700388
57,4695,77.432059866089,1.3584571906331404
58,4777,78.21977156360772,1.3486167510966849
59,4860,78.77116975187081,1.335104572065607
60,4942,79.44072469476171,1.3240120782460285
61,5024,80.26782197715636,1.3158659340517436
62,5107,81.01614808979913,1.3067120659645022
63,5189,81.92201654194565,1.3003494689197723
64,5272,82.39464356045687,1.2874163056321386
65,5354,83.18235525797559,1.2797285424303937
66,5436,83.57621110673493,1.2663062288899232
67,5519,84.24576604962584,1.2573994932779977
68,5601,84.79716423788894,1.2470171211454255
69,5683,85.78180385978732,1.2432145486925699
70,5766,86.37258763292635,1.233894109041805
71,5848,87.08152816069318,1.2265003966294814
72,5930,87.71169751870815,1.2182180210931688
73,6013,88.46002363135092,1.211781145634944
74,6095,89.12957857424183,1.2044537645167814
75,6177,89.7597479322568,1.1967966390967573
76,6260,90.38991729027175,1.18934101697726
77,6342,91.17762898779047,1.1841250517894866
78,6425,91.88656951555731,1.178032942507145
79,6507,92.12288302481292,1.1661124433520622
80,6589,92.4379677038204,1.155474596297755
81,6672,92.94998030720757,1.1475306210766367
82,6754,93.42260732571879,1.139300089338034
83,6836,93.93461992910595,1.131742408784409
84,6919,94.56478928712092,1.1257713010371537
85,7001,95.23434423001181,1.1204040497648449
86,7083,95.62820007877117,1.1119558148694322
87,7166,96.06144151240646,1.104154500142603
88,7248,96.45529736116582,1.0960829245587025
89,7331,96.92792437967704,1.0890778020188432
90,7413,97.24300905868452,1.0804778784298281
91,7495,97.51870815281607,1.0716341555254514
92,7578,97.91256400157542,1.0642670000171242
93,7660,98.30641985033478,1.057058277960589
94,7742,98.62150452934226,1.0491649418015134
95,7825,98.85781803859787,1.0406086109326091
96,7907,99.05474596297755,1.0318202704476829
97,7989,99.29105947223316,1.0236191698168366
98,8072,99.48798739661284,1.0151835448633963
99,8154,99.72430090586845,1.007316170766348
100,8236,100.0,1.0
