split,model,roc_auc,average_precision,precision_at_0_50,recall_at_0_50,f1_at_0_50,brier_score
random_stratified_benchmark,Logistic Regression,0.800886383958062,0.44389359417814717,0.3595438175270108,0.6454741379310345,0.4618350038550501,0.16224853763473088
random_stratified_benchmark,Random Forest,0.8125695977955193,0.4821685639119255,0.42172980700500357,0.6357758620689655,0.50709067468844,0.14276827523422575
random_stratified_benchmark,Histogram Gradient Boosting,0.8046997385953986,0.47593488601937534,0.622107969151671,0.2607758620689655,0.3675018982536067,0.07601460818297533
source_order_temporal_holdout,Logistic Regression,0.6953156871809774,0.501707035155482,0.3571309978416072,0.8471839306813707,0.5024526979677646,0.2938583504515326
source_order_temporal_holdout,Random Forest,0.7180489195649846,0.5150759285693923,0.44315713251267197,0.7231193383221741,0.5495360670457947,0.22572556307768651
source_order_temporal_holdout,Histogram Gradient Boosting,0.599035388469972,0.4058799248350358,0.5115384615384615,0.05238282788499409,0.09503394069310468,0.25645198353530735
