method,roc_auc,average_precision,precision_at_0_50,recall_at_0_50,f1_at_0_50,brier_score,expected_calibration_error,calibration_slope,calibration_intercept
Uncalibrated,0.7180489195649846,0.5150759285693923,0.44315713251267197,0.7231193383221741,0.5495360670457947,0.22572556307768651,0.19235941798268918,1.5787319748801825,-0.9389689251203215
Isotonic,0.7152504482815145,0.5015151906926515,0.0,0.0,0.0,0.24723410207936106,0.21904578948909748,1.3491372643158805,2.4310485098397168
Sigmoid,0.7180489195649846,0.5150759285693923,0.0,0.0,0.0,0.24072012886854038,0.2069893282781266,1.3192717203806648,2.1545536552303037
