split,model,roc_auc,average_precision,precision_at_0_50,recall_at_0_50,f1_at_0_50,brier_score,feature_set,roc_auc_ci_low,roc_auc_ci_high,roc_auc_gap_vs_pre_contact,roc_auc_gap_ci_low,roc_auc_gap_ci_high,top_decile_lift
random_stratified_benchmark,Logistic Regression,0.800886383958062,0.44389359417814717,0.3595438175270108,0.6454741379310345,0.4618350038550501,0.16224853763473088,pre_contact,0.7826318755928356,0.8198318700625379,,,,4.459041262135922
random_stratified_benchmark,Random Forest,0.8125695977955193,0.4821685639119255,0.42172980700500357,0.6357758620689655,0.50709067468844,0.14276827523422572,pre_contact,0.7961828681376475,0.8299392865231408,,,,4.663683252427185
naive_full_information_random,Logistic Regression,0.9402788984202479,0.5920991686280096,0.4493603411513859,0.9084051724137931,0.6012838801711841,0.10101081907827161,naive_full_information,0.9340507767120265,0.9460624036760771,0.13901354818927938,0.12132342787279421,0.15523606542129756,5.4283980582524265
naive_full_information_random,Random Forest,0.948020915906989,0.6610575992540856,0.45778013807753587,0.9288793103448276,0.6133048737104233,0.08877424277468318,naive_full_information,0.9423546423973653,0.9530679365064926,0.1352345887775514,0.121076150748409,0.15028593749499375,5.600728155339806
